category,assessment,ndar_structure,banda_var,ndar_var,notes,fixed_value,respondent,var_type,recode,na_val,T2,T3,Notes,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
nih,Dimensional Card Sort,dccs01,Dimensional.Change.Card.Sort.Test.Fully.Corrected.T.Score,nih_tlbx_fctsc,Fully Corrected T Score,,,,,,,,,,,,,
nih,Dimensional Card Sort,dccs01,,version_form,Version,NIH Toolbox Dimensional Change Card Sort Test Age 12+ v2.0,,,,,,,,,,,,
nih,Oral Reading,orrt01,Oral.Reading.Recognition.Test.Raw.Score,nihtbx_reading_rawscore,Raw Score,,,,,,,,,,,,,
nih,Oral Reading,orrt01,Oral.Reading.Recognition.Test.ItmCnt,nihtbx_reading_itmcnt,Test ItmCnt,,,,,,,,,,,,,
nih,Oral Reading,orrt01,Oral.Reading.Recognition.Test.Uncorrected.Standard.Score,nihtbx_reading_uncorrected,Uncorrected Standard Score,,,,,,,,,,,,,
nih,Oral Reading,orrt01,Oral.Reading.Recognition.Test.Age.Corrected.Standard.Score,nihtbx_reading_agecorrected,Age Corrected Standard Score,,,,,,,,,,,,,
nih,Oral Reading,orrt01,Oral.Reading.Recognition.Test.Fully.Corrected.T.Score,nihtbx_reading_fullycorrected,Fully Corrected T Score,,,,,,,,,,,,,
nih,Oral Reading,orrt01,Oral.Reading.Recognition.Test.SE,nihtbx_reading_se,Standard Error,,,,,,,,,,,,,
nih,Oral Reading,orrt01,Oral.Reading.Recognition.Test.Theta,nihtbx_reading_theta,Theta,,,,,,,,,,,,,
nih,Oral Reading,orrt01,,version_form,Version,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.0,,,,,,,,,,,,
nih,Pattern Comparison,pcps01,Pattern.Comparison.Processing.Speed.Test.Raw.Score,nihtbx_pattern_rawscore,Raw Score,,,,,,,,,,,,,
nih,Pattern Comparison,pcps01,Pattern.Comparison.Processing.Speed.Test.ItmCnt,nihtbx_pattern_itmcnt,Test ItmCnt,,,,,,,,,,,,,
nih,Pattern Comparison,pcps01,Pattern.Comparison.Processing.Speed.Test.Uncorrected.Standard.Score,nih_patterncomp_unadjusted,Uncorrected Standard Score,,,,,,,,,,,,,
nih,Pattern Comparison,pcps01,Pattern.Comparison.Processing.Speed.Test.Age.Corrected.Standard.Score,nih_patterncomp_ageadjusted,Age Corrected Standard Score,,,,,,,,,,,,,
nih,Pattern Comparison,pcps01,Pattern.Comparison.Processing.Speed.Test.Fully.Corrected.T.Score,nihtbx_pattern_fullycorrected,Fully Corrected T Score,,,,,,,,,,,,,
nih,Pattern Comparison,pcps01,Pattern.Comparison.Processing.Speed.Test.Computed.Score,nihtbx_pattern_computedscore,Computed Score,,,,,,,,,,,,,
nih,Pattern Comparison,pcps01,,version_form,Version,NIH Toolbox Pattern Comparison Processing Speed Test Age 7+ v2.0,,,,,,,,,,,,
strain,Stress and Adversity Inventory,strain01,PHQ,physhq,,,Child,var,,,,,Physical Health Complaints/Symptoms,,,,,
strain,Stress and Adversity Inventory,strain01,K6,k6,,,Child,var,,,,,Mental Health Complaints/Symptoms,,,,,
strain,Stress and Adversity Inventory,strain01,StressCT,stressct,,,Child,var,,,,,Core: Total Count of Stressors,,,,,
strain,Stress and Adversity Inventory,strain01,StressTH,stressth,,,Child,var,,,,,Core: Total Severity of Stressors,,,,,
strain,Stress and Adversity Inventory,strain01,EvntCT,evntct,,,Child,var,,,,,Core: Count of Acute Life Events,,,,,
strain,Stress and Adversity Inventory,strain01,DiffCT,diffct,,,Child,var,,,,,Core: Count of Chronic Difficulties,,,,,
strain,Stress and Adversity Inventory,strain01,EvntTH,evntth,,,Child,var,,,,,Core: Severity of Acute Life Events,,,,,
strain,Stress and Adversity Inventory,strain01,DiffTH,diffth,,,Child,var,,,,,Core: Severity of Chronic Difficulties,,,,,
strain,Stress and Adversity Inventory,strain01,PNCT,pnct,,,Child,var,,,,,Time-Limited: Prenatal - Total Count,,,,,
strain,Stress and Adversity Inventory,strain01,DHEvntCT,dhevntct,,,Child,var,,,,,Domain: Housing - Count of Acute Life Events,,,,,
strain,Stress and Adversity Inventory,strain01,DHDiffCT,dhdiffct,,,Child,var,,,,,Domain: Housing - Count of Chronic Difficulties,,,,,
strain,Stress and Adversity Inventory,strain01,DHAllCT,dhallct,,,Child,var,,,,,Domain: Housing - Total Count,,,,,
strain,Stress and Adversity Inventory,strain01,DHEvntTH,dhevntth,,,Child,var,,,,,Domain: Housing - Severity of Acute Life Events,,,,,
strain,Stress and Adversity Inventory,strain01,DHDiffTH,dhdiffth,,,Child,var,,,,,Domain: Housing - Severity of Chronic Difficulties,,,,,
strain,Stress and Adversity Inventory,strain01,DHAllTH,dhallth,,,Child,var,,,,,Domain: Housing - Total Severity,,,,,
strain,Stress and Adversity Inventory,strain01,DEEvntCT,deevntct,,,Child,var,,,,,Domain: Education - Count of Acute Life Events,,,,,
strain,Stress and Adversity Inventory,strain01,DEDiffCT,dediffct,,,Child,var,,,,,Domain: Education - Count of Chronic Difficulties,,,,,
strain,Stress and Adversity Inventory,strain01,DEAllCT,deallct,,,Child,var,,,,,Domain: Education - Total Count,,,,,
strain,Stress and Adversity Inventory,strain01,DEEvntTH,deevntth,,,Child,var,,,,,Domain: Education - Severity of Acute Life Events,,,,,
strain,Stress and Adversity Inventory,strain01,DEDiffTH,dediffth,,,Child,var,,,,,Domain: Education - Severity of Chronic Difficulties,,,,,
strain,Stress and Adversity Inventory,strain01,DEAllTH,deallth,,,Child,var,,,,,Domain: Education - Total Severity,,,,,
strain,Stress and Adversity Inventory,strain01,DWEvntCT,dwevntct,,,Child,var,,,,,Domain: Work - Count of Acute Life Events,,,,,
strain,Stress and Adversity Inventory,strain01,DWDiffCT,dwdiffct,,,Child,var,,,,,Domain: Work - Count of Chronic Difficulties,,,,,
strain,Stress and Adversity Inventory,strain01,DWAllCT,dwallct,,,Child,var,,,,,Domain: Work - Total Count,,,,,
strain,Stress and Adversity Inventory,strain01,DWEvntTH,dwevntth,,,Child,var,,,,,Domain: Work - Severity of Acute Life Events,,,,,
strain,Stress and Adversity Inventory,strain01,DWDiffTH,dwdiffth,,,Child,var,,,,,Domain: Work - Severity of Chronic Difficulties,,,,,
strain,Stress and Adversity Inventory,strain01,DWAllTH,dwallth,,,Child,var,,,,,Domain: Work - Total Severity,,,,,
strain,Stress and Adversity Inventory,strain01,DTEvntCT,dtevntct,,,Child,var,,,,,Domain: Treatment/Health - Count of Acute Life Events,,,,,
strain,Stress and Adversity Inventory,strain01,DTDiffCT,dtdiffct,,,Child,var,,,,,Domain: Treatment/Health - Count of Chronic Difficulties,,,,,
strain,Stress and Adversity Inventory,strain01,DTAllCT,dtallct,,,Child,var,,,,,Domain: Treatment/Health - Total Count,,,,,
strain,Stress and Adversity Inventory,strain01,DTEvntTH,dtevntth,,,Child,var,,,,,Domain: Treatment/Health - Severity of Acute Life Events,,,,,
strain,Stress and Adversity Inventory,strain01,DTDiffTH,dtdiffth,,,Child,var,,,,,Domain: Treatment/Health - Severity of Chronic Difficulties,,,,,
strain,Stress and Adversity Inventory,strain01,DTAllTH,dtallth,,,Child,var,,,,,Domain: Treatment/Health - Total Severity,,,,,
strain,Stress and Adversity Inventory,strain01,DMEvntCT,dmevntct,,,Child,var,,,,,Domain: Marital/Partner - Count of Acute Life Events,,,,,
strain,Stress and Adversity Inventory,strain01,DMDiffCT,dmdiffct,,,Child,var,,,,,Domain: Marital/Partner - Count of Chronic Difficulties,,,,,
strain,Stress and Adversity Inventory,strain01,DMAllCT,dmallct,,,Child,var,,,,,Domain: Marital/Partner - Total Count,,,,,
strain,Stress and Adversity Inventory,strain01,DMEvntTH,dmevntth,,,Child,var,,,,,Domain: Marital/Partner - Severity of Acute Life Events,,,,,
strain,Stress and Adversity Inventory,strain01,DMDiffTH,dmdiffth,,,Child,var,,,,,Domain: Marital/Partner - Severity of Chronic Difficulties,,,,,
strain,Stress and Adversity Inventory,strain01,DMAllTH,dmallth,,,Child,var,,,,,Domain: Marital/Partner - Total Severity,,,,,
strain,Stress and Adversity Inventory,strain01,DREvntCT,drevntct,,,Child,var,,,,,Domain: Reproduction - Count of Acute Life Events,,,,,
strain,Stress and Adversity Inventory,strain01,DRDiffCT,drdiffct,,,Child,var,,,,,Domain: Reproduction - Count of Chronic Difficulties,,,,,
strain,Stress and Adversity Inventory,strain01,DRAllCT,drallct,,,Child,var,,,,,Domain: Reproduction - Total Count,,,,,
strain,Stress and Adversity Inventory,strain01,DREvntTH,drevntth,,,Child,var,,,,,Domain: Reproduction - Severity of Acute Life Events,,,,,
strain,Stress and Adversity Inventory,strain01,DRDiffTH,drdiffth,,,Child,var,,,,,Domain: Reproduction - Severity of Chronic Difficulties,,,,,
strain,Stress and Adversity Inventory,strain01,DRAllTH,drallth,,,Child,var,,,,,Domain: Reproduction - Total Severity,,,,,
strain,Stress and Adversity Inventory,strain01,DFEvntCT,dfevntct,,,Child,var,,,,,Domain: Financial - Count of Acute Life Events,,,,,
strain,Stress and Adversity Inventory,strain01,DFDiffCT,dfdiffct,,,Child,var,,,,,Domain: Financial - Count of Chronic Difficulties,,,,,
strain,Stress and Adversity Inventory,strain01,DFAllCT,dfallct,,,Child,var,,,,,Domain: Financial - Total Count,,,,,
strain,Stress and Adversity Inventory,strain01,DFEvntTH,dfevntth,,,Child,var,,,,,Domain: Financial - Severity of Acute Life Events,,,,,
strain,Stress and Adversity Inventory,strain01,DFDiffTH,dfdiffth,,,Child,var,,,,,Domain: Financial - Severity of Chronic Difficulties,,,,,
strain,Stress and Adversity Inventory,strain01,DFAllTH,dfallth,,,Child,var,,,,,Domain: Financial - Total Severity,,,,,
strain,Stress and Adversity Inventory,strain01,DLEvntCT,dlevntct,,,Child,var,,,,,Domain: Legal/Crime - Count of Acute Life Events,,,,,
strain,Stress and Adversity Inventory,strain01,DLDiffCT,dldiffct,,,Child,var,,,,,Domain: Legal/Crime - Count of Chronic Difficulties,,,,,
strain,Stress and Adversity Inventory,strain01,DLAllCT,dlallct,,,Child,var,,,,,Domain: Legal/Crime - Total Count,,,,,
strain,Stress and Adversity Inventory,strain01,DLEvntTH,dlevntth,,,Child,var,,,,,Domain: Legal/Crime - Severity of Acute Life Events,,,,,
strain,Stress and Adversity Inventory,strain01,DLDiffTH,dldiffth,,,Child,var,,,,,Domain: Legal/Crime - Severity of Chronic Difficulties,,,,,
strain,Stress and Adversity Inventory,strain01,DLAllTH,dlallth,,,Child,var,,,,,Domain: Legal/Crime - Total Severity,,,,,
strain,Stress and Adversity Inventory,strain01,DOEvntCT,doevntct,,,Child,var,,,,,Domain: Other Relationships - Count of Acute Life Events,,,,,
strain,Stress and Adversity Inventory,strain01,DODiffCT,dodiffct,,,Child,var,,,,,Domain: Other Relationships - Count of Chronic Difficulties,,,,,
strain,Stress and Adversity Inventory,strain01,DOAllCT,doallct,,,Child,var,,,,,Domain: Other Relationships - Total Count,,,,,
strain,Stress and Adversity Inventory,strain01,DOEvntTH,doevntth,,,Child,var,,,,,Domain: Other Relationships - Severity of Acute Life Events,,,,,
strain,Stress and Adversity Inventory,strain01,DODiffTH,dodiffth,,,Child,var,,,,,Domain: Other Relationships - Severity of Chronic Difficulties,,,,,
strain,Stress and Adversity Inventory,strain01,DOAllTH,doallth,,,Child,var,,,,,Domain: Other Relationships - Total Severity,,,,,
strain,Stress and Adversity Inventory,strain01,DDEvntCT,dgevntct,,,Child,var,,,,,Domain: Guardian/Parent Relationships - Count of Acute Life Events,,,,,
strain,Stress and Adversity Inventory,strain01,DDDiffCT,dgdiffct,,,Child,var,,,,,Domain: Guardian/Parent Relationships - Count of Chronic Difficulties,,,,,
strain,Stress and Adversity Inventory,strain01,DDAllCT,dgallct,,,Child,var,,,,,Domain: Guardian/Parent Relationships - Total Count,,,,,
strain,Stress and Adversity Inventory,strain01,DDEvntTH,dgevntth,,,Child,var,,,,,Domain: Guardian/Parent Relationships - Severity of Acute Life Events,,,,,
strain,Stress and Adversity Inventory,strain01,DDDiffTH,dgdiffth,,,Child,var,,,,,Domain: Guardian/Parent Relationships - Severity of Chronic Difficulties,,,,,
strain,Stress and Adversity Inventory,strain01,DDAllTH,dgallth,,,Child,var,,,,,Domain: Guardian/Parent Relationships - Total Severity,,,,,
strain,Stress and Adversity Inventory,strain01,DXEvntCT,ddevntct,,,Child,var,,,,,Domain: Death - Count of Acute Life Events,,,,,
strain,Stress and Adversity Inventory,strain01,DXDiffCT,dddiffct,,,Child,var,,,,,Domain: Death - Count of Chronic Difficulties,,,,,
strain,Stress and Adversity Inventory,strain01,DXAllCT,ddallct,,,Child,var,,,,,Domain: Death - Total Count,,,,,
strain,Stress and Adversity Inventory,strain01,DXEvntTH,ddevntth,,,Child,var,,,,,Domain: Death - Severity of Acute Life Events,,,,,
strain,Stress and Adversity Inventory,strain01,DXDiffTH,dddiffth,,,Child,var,,,,,Domain: Death - Severity of Chronic Difficulties,,,,,
strain,Stress and Adversity Inventory,strain01,DXAllTH,ddallth,,,Child,var,,,,,Domain: Death - Total Severity,,,,,
strain,Stress and Adversity Inventory,strain01,DGEvntCT,dxevntct,,,Child,var,,,,,Domain: Life-Threatening Situations - Count of Acute Life Events,,,,,
strain,Stress and Adversity Inventory,strain01,DGDiffCT,dxdiffct,,,Child,var,,,,,Domain: Life-Threatening Situations - Count of Chronic Difficulties,,,,,
strain,Stress and Adversity Inventory,strain01,DGAllCT,dxallct,,,Child,var,,,,,Domain: Life-Threatening Situations - Total Count,,,,,
strain,Stress and Adversity Inventory,strain01,DGEvntTH,dxevntth,,,Child,var,,,,,Domain: Life-Threatening Situations - Severity of Acute Life Events,,,,,
strain,Stress and Adversity Inventory,strain01,DGDiffTH,dxdiffth,,,Child,var,,,,,Domain: Life-Threatening Situations - Severity of Chronic Difficulties,,,,,
strain,Stress and Adversity Inventory,strain01,DGAllTH,dxallth,,,Child,var,,,,,Domain: Life-Threatening Situations - Total Severity,,,,,
strain,Stress and Adversity Inventory,strain01,CIEvntCT,cievntct,,,Child,var,,,,,Characteristic: Interpersonal Loss - Count of Acute Life Events,,,,,
strain,Stress and Adversity Inventory,strain01,CIDiffCT,cidiffct,,,Child,var,,,,,Characteristic: Interpersonal Loss - Count of Chronic Difficulties,,,,,
strain,Stress and Adversity Inventory,strain01,CIAllCT,ciallct,,,Child,var,,,,,Characteristic: Interpersonal Loss - Total Count,,,,,
strain,Stress and Adversity Inventory,strain01,CIEvntTH,cievntth,,,Child,var,,,,,Characteristic: Interpersonal Loss - Severity of Acute Life Events,,,,,
strain,Stress and Adversity Inventory,strain01,CIDiffTH,cidiffth,,,Child,var,,,,,Characteristic: Interpersonal Loss - Severity of Chronic Difficulties,,,,,
strain,Stress and Adversity Inventory,strain01,CIAllTH,ciallth,,,Child,var,,,,,Characteristic: Interpersonal Loss - Total Severity,,,,,
strain,Stress and Adversity Inventory,strain01,CDEvntCT,cdevntct,,,Child,var,,,,,Characteristic: Physical Danger - Count of Acute Life Events,,,,,
strain,Stress and Adversity Inventory,strain01,CDDiffCT,cddiffct,,,Child,var,,,,,Characteristic: Physical Danger - Count of Chronic Difficulties,,,,,
strain,Stress and Adversity Inventory,strain01,CDAllCT,cdallct,,,Child,var,,,,,Characteristic: Physical Danger - Total Count,,,,,
strain,Stress and Adversity Inventory,strain01,CDEvntTH,cdevntth,,,Child,var,,,,,Characteristic: Physical Danger - Severity of Acute Life Events,,,,,
strain,Stress and Adversity Inventory,strain01,CDDiffTH,cddiffth,,,Child,var,,,,,Characteristic: Physical Danger - Severity of Chronic Difficulties,,,,,
strain,Stress and Adversity Inventory,strain01,CDAllTH,cdallth,,,Child,var,,,,,Characteristic: Physical Danger - Total Severity,,,,,
strain,Stress and Adversity Inventory,strain01,CHEvntCT,chevntct,,,Child,var,,,,,Characteristic: Humiliation - Count of Acute Life Events,,,,,
strain,Stress and Adversity Inventory,strain01,CHDiffCT,chdiffct,,,Child,var,,,,,Characteristic: Humiliation - Count of Chronic Difficulties,,,,,
strain,Stress and Adversity Inventory,strain01,CHAllCT,challct,,,Child,var,,,,,Characteristic: Humiliation - Total Count,,,,,
strain,Stress and Adversity Inventory,strain01,CHEvntTH,chevntth,,,Child,var,,,,,Characteristic: Humiliation - Severity of Acute Life Events,,,,,
strain,Stress and Adversity Inventory,strain01,CHDiffTH,chdiffth,,,Child,var,,,,,Characteristic: Humiliation - Severity of Chronic Difficulties,,,,,
strain,Stress and Adversity Inventory,strain01,CHAllTH,challth,,,Child,var,,,,,Characteristic: Humiliation - Total Severity,,,,,
strain,Stress and Adversity Inventory,strain01,CEEvntCT,ceevntct,,,Child,var,,,,,Characteristic: Entrapment - Count of Acute Life Events,,,,,
strain,Stress and Adversity Inventory,strain01,CEDiffCT,cediffct,,,Child,var,,,,,Characteristic: Entrapment - Count of Chronic Difficulties,,,,,
strain,Stress and Adversity Inventory,strain01,CEAllCT,ceallct,,,Child,var,,,,,Characteristic: Entrapment - Total Count,,,,,
strain,Stress and Adversity Inventory,strain01,CEEvntTH,ceevntth,,,Child,var,,,,,Characteristic: Entrapment - Severity of Acute Life Events,,,,,
strain,Stress and Adversity Inventory,strain01,CEDiffTH,cediffth,,,Child,var,,,,,Characteristic: Entrapment - Severity of Chronic Difficulties,,,,,
strain,Stress and Adversity Inventory,strain01,CEAllTH,ceallth,,,Child,var,,,,,Characteristic: Entrapment - Total Severity,,,,,
strain,Stress and Adversity Inventory,strain01,CREvntCT,crevntct,,,Child,var,,,,,Characteristic: Role Change/Reversal - Count of Acute Life Events,,,,,
strain,Stress and Adversity Inventory,strain01,CRDiffCT,crdiffct,,,Child,var,,,,,Characteristic: Role Change/Reversal - Count of Chronic Difficulties,,,,,
strain,Stress and Adversity Inventory,strain01,CRAllCT,crallct,,,Child,var,,,,,Characteristic: Role Change/Reversal - Total Count,,,,,
strain,Stress and Adversity Inventory,strain01,CREvntTH,crevntth,,,Child,var,,,,,Characteristic: Role Change/Reversal - Severity of Acute Life Events,,,,,
strain,Stress and Adversity Inventory,strain01,CRDiffTH,crdiffth,,,Child,var,,,,,Characteristic: Role Change/Reversal - Severity of Chronic Difficulties,,,,,
strain,Stress and Adversity Inventory,strain01,CRAllTH,crallth,,,Child,var,,,,,Characteristic: Role Change/Reversal - Total Severity,,,,,
ado,bisbas,bisbas01,bisbas1,bisbas1,Reverse 1-4 range,,Child,var,bisbas_rev,,1.0,1.0,,,,,,
ado,bisbas,bisbas01,bisbas2,bisbas2,,,Child,var,,,1.0,1.0,,,,,,
ado,bisbas,bisbas01,bisbas3,bisbas3,Reverse 1-4 range,,Child,var,bisbas_rev,,1.0,1.0,,,,,,
ado,bisbas,bisbas01,bisbas4,bisbas4,Reverse 1-4 range,,Child,var,bisbas_rev,,1.0,1.0,,,,,,
ado,bisbas,bisbas01,bisbas5,bisbas5,Reverse 1-4 range,,Child,var,bisbas_rev,,1.0,1.0,,,,,,
ado,bisbas,bisbas01,bisbas6,bisbas6,Reverse 1-4 range,,Child,var,bisbas_rev,,1.0,1.0,,,,,,
ado,bisbas,bisbas01,bisbas7,bisbas7,Reverse 1-4 range,,Child,var,bisbas_rev,,1.0,1.0,,,,,,
ado,bisbas,bisbas01,bisbas8,bisbas8,Reverse 1-4 range,,Child,var,bisbas_rev,,1.0,1.0,,,,,,
ado,bisbas,bisbas01,bisbas9,bisbas9,Reverse 1-4 range,,Child,var,bisbas_rev,,1.0,1.0,,,,,,
ado,bisbas,bisbas01,bisbas10,bisbas10,Reverse 1-4 range,,Child,var,bisbas_rev,,1.0,1.0,,,,,,
ado,bisbas,bisbas01,bisbas11,bisbas11,Reverse 1-4 range,,Child,var,bisbas_rev,,1.0,1.0,,,,,,
ado,bisbas,bisbas01,bisbas12,bisbas12,Reverse 1-4 range,,Child,var,bisbas_rev,,1.0,1.0,,,,,,
ado,bisbas,bisbas01,bisbas13,bisbas13,Reverse 1-4 range,,Child,var,bisbas_rev,,1.0,1.0,,,,,,
ado,bisbas,bisbas01,bisbas14,bisbas14,Reverse 1-4 range,,Child,var,bisbas_rev,,1.0,1.0,,,,,,
ado,bisbas,bisbas01,bisbas15,bisbas15,Reverse 1-4 range,,Child,var,bisbas_rev,,1.0,1.0,,,,,,
ado,bisbas,bisbas01,bisbas16,bisbas16,Reverse 1-4 range,,Child,var,bisbas_rev,,1.0,1.0,,,,,,
ado,bisbas,bisbas01,bisbas17,bisbas17,Reverse 1-4 range,,Child,var,bisbas_rev,,1.0,1.0,,,,,,
ado,bisbas,bisbas01,bisbas18,bisbas18,Reverse 1-4 range,,Child,var,bisbas_rev,,1.0,1.0,,,,,,
ado,bisbas,bisbas01,bisbas19,bisbas19,Reverse 1-4 range,,Child,var,bisbas_rev,,1.0,1.0,,,,,,
ado,bisbas,bisbas01,bisbas20,bisbas20,Reverse 1-4 range,,Child,var,bisbas_rev,,1.0,1.0,,,,,,
ado,bisbas,bisbas01,bisbas21,bisbas21,Reverse 1-4 range,,Child,var,bisbas_rev,,1.0,1.0,,,,,,
ado,bisbas,bisbas01,bisbas22,bisbas22,,,Child,var,,,1.0,1.0,,,,,,
ado,bisbas,bisbas01,bisbas23,bisbas23,Reverse 1-4 range,,Child,var,bisbas_rev,,1.0,1.0,,,,,,
ado,bisbas,bisbas01,bisbas24,bisbas24,Reverse 1-4 range,,Child,var,bisbas_rev,,1.0,1.0,,,,,,
ado,bisbas,bisbas01,bis,bissc_total,,,Child,comp,,,1.0,1.0,,,,,,
ado,bisbas,bisbas01,bas_drive,bas_drive,,,Child,comp,,,1.0,1.0,,,,,,
ado,bisbas,bisbas01,bas_fun,bas_fs,,,Child,comp,,,1.0,1.0,,,,,,
ado,bisbas,bisbas01,bas_reward,bas_rr,,,Child,comp,,,1.0,1.0,,,,,,
ado,bisbas,bisbas01,,version_form,,,Child,fixed,,2013.0,1.0,1.0,,,,,,
ado,handed,chaphand01,handed1,handed1,"Recode 1 to 0, 3 to 1",,Child,var,handed,,,,,,,,,
ado,handed,chaphand01,handed2,handed2,"Recode 1 to 0, 3 to 1",,Child,var,handed,,,,,,,,,
ado,handed,chaphand01,handed3,handed3,"Recode 1 to 0, 3 to 1",,Child,var,handed,,,,,,,,,
ado,handed,chaphand01,handed4,handed4,"Recode 1 to 0, 3 to 1",,Child,var,handed,,,,,,,,,
ado,handed,chaphand01,handed5,handed5,"Recode 1 to 0, 3 to 1",,Child,var,handed,,,,,,,,,
ado,handed,chaphand01,handed6,handed6,"Recode 1 to 0, 3 to 1",,Child,var,handed,,,,,,,,,
ado,handed,chaphand01,handed7,handed7,"Recode 1 to 0, 3 to 1",,Child,var,handed,,,,,,,,,
ado,handed,chaphand01,handed8,handed8,"Recode 1 to 0, 3 to 1",,Child,var,handed,,,,,,,,,
ado,handed,chaphand01,handed9,handed9,"Recode 1 to 0, 3 to 1",,Child,var,handed,,,,,,,,, 
ado,handed,chaphand01,handed10,handed10,"Recode 1 to 0, 3 to 1",,Child,var,handed,,,,,,,,,
ado,handed,chaphand01,handed11,handed11,"Recode 1 to 0, 3 to 1",,Child,var,handed,,,,,,,,,
ado,handed,chaphand01,handed12,handed12,"Recode 1 to 0, 3 to 1",,Child,var,handed,,,,,,,,,
ado,handed,chaphand01,handed13,handed13,"Recode 1 to 0, 3 to 1",,Child,var,handed,,,,,,,,,
ado,handed,chaphand01,handed_total,handed_total,,,Child,comp,,,,,,,,,,
ado,mfq,mfq01,mfq1,mfq1,Change from 0::2 to 1::3,,Child,var,plus1,,1.0,1.0,,,,,,
ado,mfq,mfq01,mfq2,mfq2,Change from 0::2 to 1::3,,Child,var,plus1,,1.0,1.0,,,,,,
ado,mfq,mfq01,mfq3,mfq3,Change from 0::2 to 1::3,,Child,var,plus1,,1.0,1.0,,,,,,
ado,mfq,mfq01,mfq4,mfq4,Change from 0::2 to 1::3,,Child,var,plus1,,1.0,1.0,,,,,,
ado,mfq,mfq01,mfq5,mfq5,Change from 0::2 to 1::3,,Child,var,plus1,,1.0,1.0,,,,,,
ado,mfq,mfq01,mfq6,mfq6,Change from 0::2 to 1::3,,Child,var,plus1,,1.0,1.0,,,,,,
ado,mfq,mfq01,mfq7,mfq7,Change from 0::2 to 1::3,,Child,var,plus1,,1.0,1.0,,,,,,
ado,mfq,mfq01,mfq8,mfq8,Change from 0::2 to 1::3,,Child,var,plus1,,1.0,1.0,,,,,,
ado,mfq,mfq01,mfq9,mfq9,Change from 0::2 to 1::3,,Child,var,plus1,,1.0,1.0,,,,,,
ado,mfq,mfq01,mfq10,mfq10,Change from 0::2 to 1::3,,Child,var,plus1,,1.0,1.0,,,,,,
ado,mfq,mfq01,mfq11,mfq11,Change from 0::2 to 1::3,,Child,var,plus1,,1.0,1.0,,,,,,
ado,mfq,mfq01,mfq12,mfq12,Change from 0::2 to 1::3,,Child,var,plus1,,1.0,1.0,,,,,,
